fips,name,state,farmvalue,valuesource,profit,profitsource,estprofit,estprofitsource,estprofit_changeirr,estprofitsource_changeirr,obscrop,toadd,esttoadd,esttoadd_changeirr
06049,Modoc,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06051,Mono,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06053,Monterey,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06055,Napa,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06057,Nevada,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06059,Orange,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06061,Placer,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,rice,NaN,Inf,Inf
06063,Plumas,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06065,Riverside,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,whea,-Inf,Inf,Inf
06067,Sacramento,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,corn,NaN,Inf,Inf
06069,San Benito,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06071,San Bernardino,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06073,San Diego,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06075,San Francisco,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06077,San Joaquin,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,corn,NaN,Inf,Inf
06079,San Luis Obispo,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,barl,-Inf,Inf,Inf
06081,San Mateo,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06083,Santa Barbara,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06085,Santa Clara,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
