"FIPS","year_cal","month_num","calculated"
36115,2010,12,1.5997759206191164e7
36115,2011,1,1.188310838383228e7
36115,2011,2,1.0867649367211338e7
36115,2011,3,1.1914018454499332e7
36115,2011,4,1.184638109581725e7
36115,2011,5,1.3806152528149312e7
36115,2011,6,1.4879379498729184e7
36115,2011,7,1.674440760478175e7
36115,2011,8,1.6174066532008873e7
36115,2011,9,1.4205278603622695e7
36115,2011,10,1.2824760650854003e7
36115,2011,11,1.1371026989540072e7
36115,2011,12,1.1809585452324664e7
36115,2012,1,2.0095792508189615e7
36115,2012,2,1.8378526870324276e7
36115,2012,3,2.0148065225602828e7
36115,2012,4,2.0033682163362432e7
36115,2012,5,2.334789581820093e7
36115,2012,6,2.5162854145460635e7
36115,2012,7,2.8316845225115106e7
36115,2012,8,2.735232857786008e7
36115,2012,9,2.4022866923255723e7
36115,2012,10,2.168824188773758e7
36115,2012,11,1.922980011675425e7
36115,2012,12,1.9971456221046004e7
36115,2013,1,1.7051951507701676e7
36115,2013,2,1.5594794226107102e7
36115,2013,3,1.7096306655285057e7
36115,2013,4,1.699924880450208e7
36115,2013,5,1.981146984557014e7
36115,2013,6,2.1351522638826214e7
36115,2013,7,2.4027789470506225e7
36115,2013,8,2.3209364862934217e7
36115,2013,9,2.0384205384504654e7
36115,2013,10,1.8403198022983678e7
36115,2013,11,1.631712802369244e7
36115,2013,12,1.69464480129698e7
36115,2014,1,1.7891462178871624e7
36115,2014,2,1.6362565361370023e7
36115,2014,3,1.793800104247723e7
36115,2014,4,1.783616478838855e7
36115,2014,5,2.0786838579137426e7
36115,2014,6,2.2402712063856266e7
36115,2014,7,2.521073827586755e7
36115,2014,8,2.435202055631393e7
36115,2014,9,2.1387771336230613e7
36115,2014,10,1.9309233975347873e7
36115,2014,11,1.7120461477493845e7
36115,2014,12,1.7780764480436254e7
36117,2009,1,4.788090938436839e7
36117,2009,2,4.3789294666411325e7
36117,2009,3,4.800545611447204e7
36117,2009,4,4.7732923193164915e7
36117,2009,5,5.562947982924129e7
36117,2009,6,5.9953860426249914e7
36117,2009,7,6.746866537969968e7
36117,2009,8,6.517057565927128e7
36117,2009,9,5.7237688627427526e7
36117,2009,10,5.167513269804245e7
36117,2009,11,4.581756686105305e7
36117,2009,12,4.758466157550561e7
36117,2010,1,4.09022688298586e7
36117,2010,2,3.7407006787138864e7
36117,2010,3,4.1008662879221454e7
36117,2010,4,4.077585161987789e7
36117,2010,5,4.75214854541518e7
36117,2010,6,5.1215587758716986e7
36117,2010,7,5.7635110202254824e7
36117,2010,8,5.567196696315035e7
36117,2010,9,4.88952978867835e7
36117,2010,10,4.4143484253120355e7
36117,2010,11,3.9139658393635854e7
36117,2010,12,4.064919912683583e7
36117,2011,1,4.386708179240929e7
36117,2011,2,4.011846465452667e7
36117,2011,3,4.398118784567105e7
36117,2011,4,4.3731501193854734e7
36117,2011,5,5.096609427671382e7
36117,2011,6,5.492796467118915e7
36117,2011,7,6.181280808342818e7
36117,2011,8,5.9707365830377765e7
36117,2011,9,5.2439487906792596e7
36117,2011,10,4.7343237667049885e7
36117,2011,11,4.197670802132174e7
36117,2011,12,4.3595668257677056e7
36117,2012,1,5.181786316267404e7
36117,2012,2,4.738982003869153e7
36117,2012,3,5.195265060720776e7
36117,2012,4,5.165770897378451e7
36117,2012,5,6.020355107422914e7
36117,2012,6,6.488349898917563e7
36117,2012,7,7.301620030539523e7
36117,2012,8,7.052915274928547e7
36117,2012,9,6.194399302725163e7
36117,2012,10,5.592406220952792e7
36117,2012,11,4.9584864627232976e7
36117,2012,12,5.1497256711809404e7
36117,2013,1,4.212084838012056e7
36117,2013,2,3.8521453853557885e7
36117,2013,3,4.223041217083353e7
36117,2013,4,4.1990664889410436e7
36117,2013,5,4.8937267806308955e7
36117,2013,6,5.274142653692824e7
36117,2013,7,5.935220239979799e7
36117,2013,8,5.7330572277842134e7
36117,2013,9,5.035200950238236e7
36117,2013,10,4.545862761135127e7
36117,2013,11,4.030572542823289e7
36117,2013,12,4.1860239105975784e7
36117,2014,1,4.582450837750246e7
36117,2014,2,4.1908621329171926e7
36117,2014,3,4.5943706044180214e7
36117,2014,4,4.5682877933432996e7
36117,2014,5,5.324029132377763e7
36117,2014,6,5.7378947365256764e7
36117,2014,7,6.457100463760837e7
36117,2014,8,6.237161383655556e7
36117,2014,9,5.477943037716657e7
36117,2014,10,4.94557764603166e7
36117,2014,11,4.384978279352705e7
36117,2014,12,4.554098389199047e7
36119,2009,1,1.0129957499545386e8
36119,2009,2,9.265724616871172e7
36119,2009,3,1.0164112571031292e8
36119,2009,4,1.0070568344067691e8
36119,2009,5,1.1675681831538294e8
36119,2009,6,1.2590993143302324e8
36119,2009,7,1.4129958303441036e8
36119,2009,8,1.3637946403664315e8
36119,2009,9,1.1983394680814022e8
36119,2009,10,1.0907825943085428e8
36119,2009,11,9.696846148085886e7
36119,2009,12,1.0063641783122961e8
36119,2010,1,8.953220423839715e7
36119,2010,2,7.963862463048753e7
36119,2010,3,8.72164119283572e7
36119,2010,4,8.65731044631322e7
36119,2010,5,1.0045117746343456e8
36119,2010,6,1.0795218067839779e8
36119,2010,7,1.2127080137066504e8
36119,2010,8,1.1720129862350638e8
36119,2010,9,1.0311388815585981e8
36119,2010,10,9.36248617265287e7
36119,2010,11,8.323164799427488e7
36119,2010,12,8.633047613644339e7
36119,2011,1,3.809894217970493e7
36119,2011,2,3.485504146639002e7
36119,2011,3,3.821902106745765e7
36119,2011,4,3.800943209231123e7
36119,2011,5,4.421067932242623e7
36119,2011,6,4.7485130264961846e7
36119,2011,7,5.334952446105534e7
36119,2011,8,5.166842760642329e7
36119,2011,9,4.543181215816254e7
36119,2011,10,4.108018225947891e7
36119,2011,11,3.6461603774104595e7
36119,2011,12,3.787969140662943e7
36119,2012,1,8.988623712281846e7
36119,2012,2,8.20675111274926e7
36119,2012,3,8.995949070058031e7
36119,2012,4,8.870920613912381e7
36119,2012,5,1.0324766348245549e8
36119,2012,6,1.1071829128448641e8
36119,2012,7,1.238126486659361e8
36119,2012,8,1.1986609757556042e8
36119,2012,9,1.0587166730502115e8
36119,2012,10,9.643436020101981e7
36119,2012,11,8.589165138716212e7
36119,2012,12,8.917775184966606e7
36119,2013,1,8.681936794541518e7
36119,2013,2,7.928742140215354e7
36119,2013,3,8.689919136220646e7
36119,2013,4,8.604051160704562e7
36119,2013,5,9.962908198899315e7
36119,2013,6,1.0721071355861504e8
36119,2013,7,1.2001223630307996e8
36119,2013,8,1.1617974914958248e8
36119,2013,9,1.0218479594292349e8
36119,2013,10,9.282139073010711e7
36119,2013,11,8.292553391627522e7
36119,2013,12,8.622695736381815e7
36119,2014,1,7.838175996737653e7
36119,2014,2,7.168372589021681e7
36119,2014,3,7.858564481478699e7
36119,2014,4,7.813950437393573e7
36119,2014,5,9.106628489619116e7
36119,2014,6,9.814536017526196e7
36119,2014,7,1.104472075218633e8
36119,2014,8,1.0668520050975503e8
36119,2014,9,9.36989465899143e7
36119,2014,10,8.459295989776288e7
36119,2014,11,7.500403760427992e7
36119,2014,12,7.7896797903295e7
36121,2009,1,5.141421488446774e7
36121,2009,2,4.702066511612994e7
36121,2009,3,5.154795236830086e7
36121,2009,4,5.125530825691417e7
36121,2009,5,5.9734580370888345e7
36121,2009,6,6.437807265446243e7
36121,2009,7,7.244742224826244e7
36121,2009,8,6.997974817462705e7
36121,2009,9,6.1461464713566095e7
36121,2009,10,5.548842766106515e7
36121,2009,11,4.919861085275677e7
36121,2009,12,5.1096105878190264e7
36121,2010,1,5.228169933090449e7
36121,2010,2,4.7814019555967465e7
