"resid","storage","storagemax"
"reservoir.146",0,16837.002
"reservoir.1460",2.24262467078938e-13,13691.628
"reservoir.1461",0,43171.8
"reservoir.1462",7.79501876339629e-16,144070.464
"reservoir.1463",0,22804.57824
"reservoir.1464",1.46966463412393e-13,11515.76928
"reservoir.1465",0,89920.692
"reservoir.1466",1.59979943519308e-13,13749.60156
"reservoir.1467",2.56788570726792e-13,440352.36
"reservoir.1468",34745.9044951408,63384.83676
"reservoir.1469",0,34537.44
"reservoir.147",0,14925.108
"reservoir.1470",0,7647.576
"reservoir.1471",0,31675.7664
"reservoir.1472",42432.1710020487,75242.28
"reservoir.1473",0,156898.656
"reservoir.1474",542.502822843061,110766.504
"reservoir.1475",9.61646117448163e-15,45231.7116
"reservoir.1476",0,9374.448
"reservoir.1477",0,8962.46568
"reservoir.1478",0,70308.36
"reservoir.1479",8.07671019084032e-16,154801.74
"reservoir.148",0,10977.972
"reservoir.1480",12085.63704,12085.63704
"reservoir.1481",22696.032,22696.032
"reservoir.1482",466.661081828043,29011.4496
"reservoir.1483",1.48067376294048e-14,11426.95872
"reservoir.1484",0,17762.112
"reservoir.1485",0,161462.532
"reservoir.1486",0,160352.4
"reservoir.1487",0,33797.352
"reservoir.1488",0,12539.55768
"reservoir.1489",0,22390.12896
"reservoir.149",0,151718.04
"reservoir.1490",0,147894.252
"reservoir.1491",388.762134608748,14244.22704
"reservoir.1492",0,78572.676
"reservoir.1493",0,14678.412
"reservoir.1494",6.09582611041515e-14,64486.3344
"reservoir.1495",13814.976,13814.976
"reservoir.1496",0,99541.836
"reservoir.1497",0,57603.516
"reservoir.1498",0,48919.8168
"reservoir.1499",0,25730.3928
"reservoir.15",0,7049.3382
"reservoir.150",0,463788.48
"reservoir.1500",113.463047398319,666079.2
"reservoir.1501",0,43788.54
"reservoir.1502",540.36703,6484.40436
"reservoir.1503",4.82305424135724e-14,9251.1
"reservoir.1504",332.487983618967,6435.06516
"reservoir.1505",556.317420221478,21932.50788
"reservoir.1506",0,20044.05
"reservoir.1507",1903.35009085218,12041.23176
"reservoir.1508",0,22202.64
"reservoir.151",0,40951.536
"reservoir.1510",1359.33292659444,96155.9334
"reservoir.1511",0,7425.5496
"reservoir.1512",1.36541252160723e-13,22608.45492
"reservoir.1513",6487.6377271718,26371.8024
"reservoir.1514",0,360176.16
"reservoir.1515",1.99291176055835e-30,31515.414
"reservoir.1516",0,7885.63764
"reservoir.1517",0,60810.564
"reservoir.1518",0,8853.91944
"reservoir.152",2006.72306177753,16035.24
"reservoir.1520",134494.9588,134494.9588
"reservoir.1521",0,241762.08
"reservoir.1522",0,201673.98
"reservoir.1523",253.746577312758,8572.686
"reservoir.1525",1.09154455591844e-14,148017.6
"reservoir.1527",9682.818,9682.818
"reservoir.1528",4636.18115813128,28351.5378
"reservoir.153",0,147524.208
"reservoir.1530",1384.1245583276,21832.596
"reservoir.1531",52926.7787959427,446723.2842
"reservoir.1532",0,3540087.6
"reservoir.1533",0,53335.6752
"reservoir.1534",584.77231,7017.26772
"reservoir.1535",5893.27559733276,88280.1636
"reservoir.1536",79.8114642915691,19674.006
"reservoir.1538",115.46830236446,19686.3408
"reservoir.1539",8.50801622393877e-13,126308.352
"reservoir.154",84924.6001385504,23325106.8
"reservoir.1540",12193.7276905892,308370
"reservoir.1541",0,354872.196
"reservoir.1542",3918.21261167075,8239.6464
"reservoir.1543",16025.6999382819,70160.3424
"reservoir.1544",0,134826.7649
"reservoir.1545",0,33180.612
"reservoir.1546",0,6858.1488
"reservoir.1547",3.557644367366e-13,74008.8
"reservoir.1548",4.12161340329301e-14,11323.3464
"reservoir.1549",0,199823.76
"reservoir.155",1035.54923362012,12211.452
"reservoir.1550",4747.99712139334,26317.52928
